observation_date,MYAGM2BRM189N
1989-03-01,25624.0000
1989-04-01,30326.1818
1989-05-01,32477.4545
1989-06-01,38648.7273
1989-07-01,47445.0909
1989-08-01,60924.0000
1989-09-01,79998.1818
1989-10-01,108494.1818
1989-11-01,148388.3636
1989-12-01,239225.8182
1990-01-01,350736.7273
1990-02-01,660653.8182
1990-03-01,963521.4545
1990-04-01,908961.4545
1990-05-01,1023386.5455
1990-06-01,1150381.8182
1990-07-01,1287082.9091
1990-08-01,1486466.1818
1990-09-01,1755858.9091
1990-10-01,1994421.4545
1990-11-01,2315757.4545
1990-12-01,2822565.4545
1991-01-01,3163132.7273
1991-02-01,3703016.7273
1991-03-01,4304324.7273
1991-04-01,4721849.8182
1991-05-01,5331973.0909
1991-06-01,6024898.9091
1991-07-01,6807402.1818
1991-08-01,7872640.0000
1991-09-01,9406394.1800
1991-10-01,11099557.8200
1991-11-01,14287316.3600
1991-12-01,19342301.8200
1992-01-01,24297922.9100
1992-02-01,31925308.0000
1992-03-01,40047021.0900
1992-04-01,49836348.3600
1992-05-01,62417796.7300
1992-06-01,79555465.0900
1992-07-01,100321590.5500
1992-08-01,128428114.1800
1992-09-01,161626160.7300
1992-10-01,202796227.6400
1992-11-01,253363045.0900
1992-12-01,332739534.1800
1993-01-01,423183880.7300
1993-02-01,522934577.4500
1993-03-01,669413518.5500
1993-04-01,866960543.2700
1993-05-01,1126609413.0900
1993-06-01,1482426485.8200
1993-07-01,1960844800.7300
1993-08-01,2655215545.4500
1993-09-01,3562882909.0900
1993-10-01,4952916000.0000
1993-11-01,6962322545.4500
1993-12-01,10222990545.4500
1994-01-01,14609543272.7300
1994-02-01,20129897818.1800
1994-03-01,28948333090.9100
1994-04-01,41777934181.8200
1994-05-01,62697884363.6400
1994-06-01,93961130454.5500
1994-07-01,100697238000.0000
1994-08-01,106845778000.0000
1994-09-01,111760246000.0000
1994-10-01,118860495000.0000
1994-11-01,124425475000.0000
1994-12-01,132557664000.0000
1995-01-01,139852441000.0000
1995-02-01,143815525000.0000
1995-03-01,145947321000.0000
1995-04-01,147298943000.0000
1995-05-01,147330908000.0000
1995-06-01,151296988000.0000
1995-07-01,156030919065.0000
1995-08-01,162114675491.0000
1995-09-01,165951446591.0000
1995-10-01,168628520068.0000
1995-11-01,171865362942.0000
1995-12-01,178755494638.0000
1996-01-01,175037460003.0000
1996-02-01,174832724187.0000
1996-03-01,175384419590.0000
1996-04-01,173650017343.0000
1996-05-01,172229874233.0000
1996-06-01,173472150486.0000
1996-07-01,172417115868.0000
1996-08-01,173009587195.0000
1996-09-01,176994960777.0000
1996-10-01,179184384386.0000
1996-11-01,182163718978.0000
1996-12-01,188735165531.0000
1997-01-01,189278928217.0000
1997-02-01,192902410077.0000
1997-03-01,195733128895.0000
1997-04-01,195853894663.0000
1997-05-01,198245164879.0000
1997-06-01,205189407513.0000
1997-07-01,204299756018.0000
1997-08-01,209692776334.0000
1997-09-01,217061745457.0000
1997-10-01,222660184131.0000
1997-11-01,230702734372.0000
1997-12-01,239777195805.0000
1998-01-01,241760736832.0000
1998-02-01,243449542637.0000
1998-03-01,244428413087.0000
1998-04-01,242194202925.0000
1998-05-01,243614518508.0000
1998-06-01,247300463732.0000
1998-07-01,247652306074.0000
1998-08-01,248165807912.0000
1998-09-01,245772365836.0000
1998-10-01,247228305158.0000
1998-11-01,251315057866.0000
1998-12-01,254965130000.0000
1999-01-01,254930105000.0000
1999-02-01,259568056000.0000
1999-03-01,260900171000.0000
1999-04-01,257075021000.0000
1999-05-01,258344677000.0000
1999-06-01,260973090000.0000
1999-07-01,260036100000.0000
1999-08-01,259187285000.0000
1999-09-01,257450042000.0000
1999-10-01,259628490000.0000
1999-11-01,262754640000.0000
1999-12-01,274769738000.0000
2000-01-01,269834203000.0000
2000-02-01,261493972000.0000
2000-03-01,261426958000.0000
2000-04-01,259792946000.0000
2000-05-01,259849804000.0000
2000-06-01,260097175000.0000
2000-07-01,262669758000.0000
2000-08-01,264098974000.0000
2000-09-01,264758892000.0000
2000-10-01,265690888000.0000
2000-11-01,271618418000.0000
2000-12-01,283784809000.0000
2001-01-01,276497688000.0000
2001-02-01,279762508000.0000
2001-03-01,278378236000.0000
2001-04-01,279598547100.0000
2001-05-01,283478494500.0000
2001-06-01,289058653300.0000
2001-07-01,290466494400.0000
2001-08-01,295618891000.0000
2001-09-01,296574994000.0000
2001-10-01,295900745000.0000
2001-11-01,301950848000.0000
2001-12-01,321612169000.0000
2002-01-01,314518503000.0000
2002-02-01,316188984000.0000
2002-03-01,323975113000.0000
2002-04-01,322667891000.0000
2002-05-01,324541851000.0000
2002-06-01,342029281359.0000
2002-07-01,353510430000.0000
2002-08-01,369202497000.0000
2002-09-01,375894369000.0000
2002-10-01,382186726000.0000
2002-11-01,385610075000.0000
2002-12-01,397502950000.0000
2003-01-01,388505575000.0000
2003-02-01,391101065000.0000
2003-03-01,385238154000.0000
2003-04-01,382254765000.0000
2003-05-01,385368449000.0000
2003-06-01,383247962000.0000
2003-07-01,385673744000.0000
2003-08-01,387611181000.0000
2003-09-01,388097266000.0000
2003-10-01,386023071000.0000
2003-11-01,398425403000.0000
2003-12-01,412894706000.0000
2004-01-01,405055550000.0000
2004-02-01,408095681000.0000
2004-03-01,409758044000.0000
2004-04-01,410978137000.0000
2004-05-01,427761539000.0000
2004-06-01,436468893000.0000
2004-07-01,441903867000.0000
2004-08-01,450248035000.0000
2004-09-01,457263750000.0000
2004-10-01,463011718680.1500
2004-11-01,470778291000.0000
2004-12-01,493496745000.0000
2005-01-01,489051624000.0000
2005-02-01,492621330000.0000
2005-03-01,502561717000.0000
2005-04-01,503109309000.0000
2005-05-01,504302367000.0000
2005-06-01,512485028000.0000
2005-07-01,518084803000.0000
2005-08-01,526645435000.0000
2005-09-01,532469413000.0000
2005-10-01,539183005000.0000
2005-11-01,549488595000.0000
2005-12-01,582463581000.0000
2006-01-01,567252738000.0000
2006-02-01,574854769000.0000
2006-03-01,578794752000.0000
2006-04-01,579656895000.0000
2006-05-01,593980605000.0000
2006-06-01,600442057000.0000
2006-07-01,604812698000.0000
2006-08-01,607032661000.0000
2006-09-01,611874556000.0000
2006-10-01,622409389000.0000
2006-11-01,637723544000.0000
2006-12-01,661499645000.0000
2007-01-01,645751549000.0000
2007-02-01,646966126000.0000
2007-03-01,650733952000.0000
2007-04-01,657129977000.0000
2007-05-01,663899803000.0000
2007-06-01,677220438000.0000
2007-07-01,682624102000.0000
2007-08-01,698087344000.0000
2007-09-01,711705989000.0000
2007-10-01,722352529000.0000
2007-11-01,735188526000.0000
2007-12-01,781280049000.0000
2008-01-01,756004378000.0000
2008-02-01,758407731000.0000
2008-03-01,778446487000.0000
2008-04-01,812326582000.0000
2008-05-01,840670357000.0000
2008-06-01,864451130000.0000
2008-07-01,905716750000.0000
2008-08-01,949813624000.0000
2008-09-01,988582930000.0000
2008-10-01,1013486040000.0000
2008-11-01,1034366743000.0000
2008-12-01,1072986066000.0000
2009-01-01,1054280418000.0000
2009-02-01,1060217922000.0000
2009-03-01,1058016601000.0000
2009-04-01,1062112823000.0000
2009-05-01,1074877025000.0000
2009-06-01,1095141404000.0000
2009-07-01,1098611974000.0000
2009-08-01,1104712956000.0000
2009-09-01,1121188557000.0000
2009-10-01,1116967849000.0000
2009-11-01,1131999714000.0000
2009-12-01,1164854743586.8999
2010-01-01,1146428588000.0000
2010-02-01,1149968048000.0000
2010-03-01,1162640012000.0000
2010-04-01,1158508716000.0000
2010-05-01,1172262354000.0000
2010-06-01,1191152965000.0000
2010-07-01,1202067014000.0000
2010-08-01,1226542733000.0000
2010-09-01,1255385220912.0701
2010-10-01,1268275905000.0000
2010-11-01,1300275955000.0000
2010-12-01,1362388713000.0000
2011-01-01,1348030565000.0000
2011-02-01,1367532564000.0000
2011-03-01,1393939107000.0000
2011-04-01,1401819806000.0000
2011-05-01,1427174141000.0000
2011-06-01,1453997748000.0000
2011-07-01,1474643875000.0000
2011-08-01,1500838516000.0000
2011-09-01,1531092115000.0000
2011-10-01,1538019377000.0000
2011-11-01,1569029499000.0000
2011-12-01,1617479557000.0000
2012-01-01,1591802789000.0000
2012-02-01,1599649389000.0000
2012-03-01,1614347323000.0000
2012-04-01,1610857200000.0000
2012-05-01,1637111216000.0000
2012-06-01,1660339682000.0000
2012-07-01,1668505243000.0000
2012-08-01,1685548585000.0000
2012-09-01,1702277330000.0000
2012-10-01,1706898049000.0000
2012-11-01,1724637270000.0000
2012-12-01,1764611148000.0000
2013-01-01,1721819113000.0000
2013-02-01,1722232564000.0000
2013-03-01,1755986199578.8501
2013-04-01,1752360489000.0000
2013-05-01,1780263166127.1799
2013-06-01,1817185841841.3799
2013-07-01,1822959179959.7900
2013-08-01,1844371951305.5100
2013-09-01,1861085764323.7000
2013-10-01,1871626060355.2400
2013-11-01,1909101906129.0701
2013-12-01,1956838074710.5200
2014-01-01,1941730915996.8601
2014-02-01,1960711414822.5400
2014-03-01,1972553098599.2700
2014-04-01,1983442700824.3401
2014-05-01,2002401958659.1599
2014-06-01,2022879777365.1499
2014-07-01,2031090292376.2800
2014-08-01,2048089758215.9800
2014-09-01,2057233386304.1899
2014-10-01,2081008364474.4900
2014-11-01,2107505461135.3899
2014-12-01,2150683632209.7200
2015-01-01,2127290700362.0901
2015-02-01,2130760373888.2600
2015-03-01,2127134050943.4399
2015-04-01,2135910116357.3899
2015-05-01,2151857156944.0300
2015-06-01,2154232444220.1101
2015-07-01,2161920643729.8601
2015-08-01,2163406035558.9099
2015-09-01,2167463562354.8999
2015-10-01,2200853918815.8599
2015-11-01,2220285504244.0098
2015-12-01,2285721020372.1602
2016-01-01,2248923085979.3901
2016-02-01,2247636028115.6401
2016-03-01,2245379835589.6899
2016-04-01,2241550818069.4302
2016-05-01,2253794325024.0000
2016-06-01,2267104140914.7998
2016-07-01,2271113017216.1099
2016-08-01,2281970742489.3901
2016-09-01,2282046090602.9399
2016-10-01,2286437190932.4102
2016-11-01,2314068169071.8999
2016-12-01,2371654898344.1401
2017-01-01,2313409310781.1499
2017-02-01,2319595994523.4902
2017-03-01,2327996051542.4600
2017-04-01,2342597558968.8198
2017-05-01,2373062417010.1201
